Gatsibo,Muhanga,Gicumbi,Kicukiro,Rulindo,Nyaruguru,Rwamagana,Kamonyi,Gasabo,Ngororero,Rubavu,Nyamagabe,Burera,Nyabihu,Gakenke,Nyamasheke,Kirehe,Nyagatare,Bugesera,Karongi,Huye,Musanze,Rusizi,Ngoma,Nyarugenge,Gisagara,Kayonza,Ruhango,Nyanza,Rutsiro
43501.004,43483.617,43501.004,43479.266,43496.66,43435.797,43479.266,43479.266,43487.96,43487.96,43501.004,43453.184,43514.06,43501.004,43496.66,43457.53,43466.223,43518.406,43466.223,43470.57,43448.836,43509.707,43444.49,43466.223,43479.266,43440.145,43487.96,43466.223,43457.53,43483.617
43496.07,43477.777,43496.07,43473.207,43491.5,43427.48,43473.207,43473.207,43482.35,43482.35,43496.07,43445.77,43509.797,43496.07,43491.5,43450.34,43459.484,43514.37,43459.484,43464.055,43441.2,43505.223,43436.63,43459.484,43473.207,43432.05,43482.35,43459.484,43450.34,43477.777
43491.176,43471.984,43491.176,43467.188,43486.38,43419.227,43467.188,43467.188,43476.785,43476.785,43491.176,43438.41,43505.574,43491.176,43486.38,43443.203,43452.797,43510.37,43452.797,43457.59,43433.613,43500.773,43428.816,43452.797,43467.188,43424.023,43476.785,43452.797,43443.203,43471.984
43486.32,43466.24,43486.32,43461.22,43481.3,43411.027,43461.22,43461.22,43471.258,43471.258,43486.32,43431.105,43501.387,43486.32,43481.3,43436.125,43446.164,43506.41,43446.164,43451.184,43426.086,43496.367,43421.066,43446.164,43461.22,43416.047,43471.258,43446.164,43436.125,43466.24
43481.52,43460.55,43481.52,43455.31,43476.273,43402.9,43455.31,43455.31,43465.793,43465.793,43481.52,43423.863,43497.246,43481.52,43476.273,43429.1,43439.586,43502.49,43439.586,43444.83,43418.62,43492.004,43413.383,43439.586,43455.31,43408.14,43465.793,43439.586,43429.1,43460.55
43476.76,43454.914,43476.76,43449.453,43471.3,43394.848,43449.453,43449.453,43460.375,43460.375,43476.76,43416.688,43493.15,43476.76,43471.3,43422.152,43433.066,43498.613,43433.066,43438.53,43411.23,43487.688,43405.766,43433.066,43449.453,43400.305,43460.375,43433.066,43422.152,43454.914
43472.06,43449.34,43472.06,43443.66,43466.38,43386.87,43443.66,43443.66,43455.02,43455.02,43472.06,43409.586,43489.1,43472.06,43466.38,43415.26,43426.62,43494.785,43426.62,43432.3,43403.902,43483.418,43398.223,43426.62,43443.66,43392.55,43455.02,43426.62,43415.26,43449.34
43467.414,43443.832,43467.414,43437.934,43461.516,43378.973,43437.934,43437.934,43449.723,43449.723,43467.414,43402.56,43485.105,43467.414,43461.516,43408.457,43420.246,43491.004,43420.246,43426.14,43396.664,43479.207,43390.766,43420.246,43437.934,43384.87,43449.723,43420.246,43408.457,43443.832
43462.83,43438.383,43462.83,43432.273,43456.715,43371.176,43432.273,43432.273,43444.492,43444.492,43462.83,43395.613,43481.16,43462.83,43456.715,43401.723,43413.94,43487.273,43413.94,43420.05,43389.504,43475.05,43383.395,43413.94,43432.273,43377.28,43444.492,43413.94,43401.723,43438.383
43458.305,43433.008,43458.305,43426.688,43451.977,43363.465,43426.688,43426.688,43439.332,43439.332,43458.305,43388.758,43477.273,43458.305,43451.977,43395.08,43407.723,43483.598,43407.723,43414.043,43382.434,43470.95,43376.11,43407.723,43426.688,43369.79,43439.332,43407.723,43395.08,43433.008
