Gatsibo,Muhanga,Gicumbi,Kicukiro,Rulindo,Nyaruguru,Rwamagana,Kamonyi,Gasabo,Ngororero,Rubavu,Nyamagabe,Burera,Nyabihu,Gakenke,Nyamasheke,Kirehe,Nyagatare,Bugesera,Karongi,Huye,Musanze,Rusizi,Ngoma,Nyarugenge,Gisagara,Kayonza,Ruhango,Nyanza,Rutsiro
41367.637,38468.11,36515.75,35838.19,37995.336,38885.14,35914.465,37332.027,37397.445,33699.863,30565.623,39737.79,36479.332,28990.92,38475.26,37507.4,41465.496,39717.316,35682.06,39737.684,39195.105,37948.89,37236.316,39963.855,38489.617,39543.01,41330.53,39197.582,39202.277,33667.684
13023.654,14626.029,20155.78,19812.05,15817.01,16245.732,19779.182,18808.75,18806.275,14340.341,19536.59,17439.598,20158.783,19054.773,14628.746,21037.25,11562.638,12886.602,19753.078,17463.303,16019.655,15872.259,19953.023,17876.537,14564.774,16191.487,12271.306,16040.355,16013.846,14350.636
38066.81,32039.674,34766.824,36886.156,33496.777,35902.766,36805.527,35897.12,35882.574,25267.916,32483.242,33065.598,34809.57,33354.88,32080.994,33619.63,36237.676,39561.28,37619.547,33099.83,33532.484,33504.117,32924.746,37054.727,32062.871,35265.996,36774.516,33562.9,33551.617,25257.158
18075.512,25333.475,32615.617,28649.174,26066.643,25679.65,28586.305,30054.1,30077.254,21020.625,29907.086,22112.178,32679.342,31347.268,25386.398,24794.05,25567.045,16665.621,30431.29,22128.342,26174.316,26124.027,26104.209,27486.691,25320.574,28331.844,16114.265,26226.715,26206.729,20995.33
40187.867,27829.104,29233.545,34379.945,26156.35,30297.762,34382.45,32574.398,32569.738,14642.077,28895.736,31363.121,29259.602,20847.352,27869.494,26930.68,39045.316,39950.74,33668.66,31411.785,30500.9,26157.973,27453.027,39119.445,27866.236,30765.605,40273.664,30530.246,30529.498,14618.427
34462.293,24826.145,31297.883,30769.342,27020.863,21361.205,30787.203,31502.703,31519.484,23239.422,24812.355,22048.62,31289.914,26198.404,24839.652,21212.771,30549.021,34969.84,28850.18,22056.92,24478.072,27017.049,20599.658,30598.852,24830.361,23213.623,36021.816,24493.354,24488.12,23220.402
21057.857,15248.578,16592.967,16273.814,14751.835,11326.785,16237.663,14882.245,14862.483,14679.896,14075.729,13082.373,16674.691,14075.561,15258.297,24891.76,10959.771,23844.604,19379.842,13146.317,15585.179,14811.6,27337.879,17688.07,15222.27,12775.814,11266.007,15601.158,15589.938,14692.871
40340.945,39208.438,37186.953,40676.766,37421.14,39724.297,40629.258,40046.887,39993.16,35279.258,37789.027,38736.312,37206.14,35977.69,39233.2,40483.86,41449.67,41163.844,41402.777,38757.766,40101.062,37416.387,40595.05,41449.67,39247.15,40142.2,39459.43,40093.047,40115.56,35256.883
38861.297,37771.664,37332.535,39445.48,35700.062,39689.29,39393.887,38466.496,38468.54,26773.281,28734.072,39701.848,37339.23,32553.996,37754.996,36790.14,39356.96,38541.266,39644.406,39703.805,39684.027,35744.1,37708.95,39442.215,37735.562,39773.562,39113.047,39652.676,39647.434,26803.174
31233.748,27262.574,28130.51,30236.318,26612.715,24778.781,30254.527,30117.062,30139.87,14878.243,23680.787,28101.584,28117.525,24568.156,27293.672,22442.9,27886.57,31113.424,29654.104,28125.734,30135.816,26589.445,23214.816,28662.836,27224.469,29397.686,28101.736,30157.168,30133.193,14891.6
38897.95,35807.684,34742.984,34956.48,34152.598,36550.914,34860.87,36284.86,36267.92,33202.516,36992.97,36676.2,34775.734,32952.13,35805.836,39600.0,37200.7,39365.79,34752.56,36681.2,36000.0,34180.42,39600.0,35027.22,35804.344,35997.805,38031.05,35983.28,35982.39,33172.234
39670.04,36969.8,38456.38,39175.34,36048.598,40032.34,39182.918,36609.9,36579.895,37012.07,39600.0,37143.4,38446.473,39504.117,36958.273,39600.0,38864.125,38947.0,39432.87,37171.98,37429.387,36043.945,39600.0,38483.3,36935.457,39697.02,39860.93,37452.61,37448.66,36949.746
37682.668,36449.77,36758.94,39954.336,33592.13,39679.9,39972.51,33284.523,33331.914,36055.33,40906.566,37089.344,36677.355,41051.176,36431.86,39937.62,40266.664,37402.9,40028.18,37107.67,38721.605,33553.04,39935.996,39745.29,36431.145,40710.48,40819.28,38739.633,38740.207,36030.547
40967.047,39303.418,40835.2,41401.9,39410.75,37323.992,41364.71,40870.58,40877.54,24819.67,29603.047,37764.523,40825.125,34127.69,39307.492,30696.36,41432.633,41192.55,41432.63,37788.715,39112.945,39340.746,31299.088,41432.633,39320.863,38952.46,40467.305,39149.4,39155.2,24765.672
40289.67,39963.918,41088.258,40085.24,40906.11,38073.348,40140.0,40097.773,40164.438,40800.035,40257.67,36656.914,41024.09,40796.18,39969.004,39228.953,39203.695,40246.867,39796.926,36657.043,38271.156,40783.418,38271.82,39572.637,40030.086,38108.168,40357.305,38295.12,38301.953,40735.156
